Postcode;Straat;Huisnummer van ;Huisnummer tot en met;Woonplaats;Voorkeursblok Sint Jan;Blokouderling;;;;;;;
2801 RH;Peperstraat;104;146;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RJ;Korte Noodgodsstraat;1;15;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RJ;Korte Noodgodsstraat;2;8;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RK;Hof van Adriaan;2;16;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RL;Bogen;4;4;GOUDA                   ;A-1;onbekend;;;;;;;
2801 RS;Lange Noodgodsstraat;2;42;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RT;Lange Noodgodsstraat;44;86;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RW;Zuidpool;3;9;GOUDA                   ;B-6;onbekend;;;;;;;
2801 RZ;Nieuwe Parkerf;1;17;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 RZ;Nieuwe Parkerf;2;16;GOUDA                   ;A-2;T. Eilander;;;;;;;
2801 SB;Nieuwe Gouwe O.Z.;1;13;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SB;Nieuwe Gouwe O.Z.;2;12;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SC;H.J.Nederhorststraat;1;3;GOUDA                   ;B-6;onbekend;;;;;;;
2801 SC;H.J.Nederhorststraat;2;2;GOUDA                   ;B-6;onbekend;;;;;;;
2801 SE;Kanaalstraat;1;11;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SE;Kanaalstraat;2;12;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SG;Kanaalstraat;13;27;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SG;Kanaalstraat;14;26;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SH;Kanaalstraat;28;30;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SH;Kanaalstraat;29;31;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SJ;Winterdijk 1;1;15;GOUDA                   ;B-15;onbekend;;;;;;;
2801 SJ;Winterdijk overig;1;15;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SJ;Winterdijk overig;2;14;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SK;Winterdijk overig;19;57;GOUDA                   ;B-2;onbekend;;;;;;;
2801 SL;Vincent Hamanstraat;1;3;GOUDA                   ;B-2;onbekend;;;;;;;
